bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-2_ses-29_T1w	0.4368625321563468	2.8334609427477044	0.6501387189829194	90.93351549884125	3.9673599999999998	3.82834	4.46682	3.60692	0.20274553857470975	0.4321916136206028	0.3650628478046874	1.2412009239196777	0.3438814759254454	0.0	0.0007950736488984246	24.336230781334965	12.608422460726134	17.948854380946376	188	256	256	3.193563099846659	11.417109983687885	13.032671642212016	24.4873418431015	18.548029339848487	39.530096280181354	36.53511305013502	51.5272135303752	1.0	1.0	1.0	19.30103048260298	12.714375594564189	70.16065254528661	76.68119406700134	3527128.0	11.577216625213623	95.19044780731201	23.864367772357806	9.409834452929635	75.75648791761162	388.2388670730894	359.9656798839569	22651.0	258.55783796310425	603.5517469644547	112.71351860938742	0.2854886516286692	63.99569049263975	772.9545182670237	767.1692621707916	39823.0	672.3432822942733	894.0898592472076	67.19385474677598	0.7619399458288756	37.71931426387376	1001.131067476222	999.9999520778656	253277.0	935.2532961368561	1069.4632518291473	40.83734299786953	0.1720675379037857	0.46840599179267883	0.5274636149406433	0.4241251978302299
sub-2_ses-2_T1w	0.46897262517907373	2.7243698347139307	0.6883924469140195	86.3017481172889	4.06008	3.94482	4.51015	3.72527	0.21044229671708628	0.4235291724326657	0.366028530850248	1.2946627140045166	0.39132171869277954	0.0	0.0008013837993301004	24.05112893572115	12.922182127840758	18.244335072261634	188	256	256	3.5458951229866322	11.524237282614049	12.567799974576923	22.633267518130094	21.510853323736132	44.0056322856711	40.81622063610043	56.93217629889408	1.0	1.0	1.0	393.7064469326625	11.507312990725659	75.46609247108394	79.37493463605642	2964526.0	25.354444570839405	97.69222724437714	22.251961954179617	1.3364382476052228	87.60900956939135	401.2993364992219	377.8329678699374	21867.0	262.7548357769847	608.5791109703482	106.5525954166622	0.19821376776396082	64.59438358794003	780.3319441538047	772.9483530595899	34363.0	682.5002528354526	903.1356643661857	67.07056503709408	0.6925631663308689	41.8866192862414	1000.3314253929299	999.9999913796782	251842.0	927.55872117728	1071.8203364089131	44.18266188056621	0.17442338168621063	0.4653070569038391	0.5282341241836548	0.42266643338290616
sub-2_ses-30_T1w	0.5483189913606759	2.362478289518687	0.7099115023793315	81.33061190135511	4.03979	3.88721	4.47433	3.75783	0.2083009620128801	0.4249514660060559	0.36674757198106406	1.2900116443634033	0.39985088706016536	0.0	0.0008907945984414391	24.280773572007693	12.933085442464963	18.179319396992685	188	256	256	3.4440433326595636	10.629128244017595	11.579985025574592	20.666783500046616	20.864551739467544	43.86647123309325	40.1905189008482	55.84053372998381	1.0	1.0	1.0	38.856341718537955	11.732272921436824	79.49228222432399	83.17564134299755	2603573.0	30.44899383187294	102.09874485433102	20.859945124454033	2.692339312273708	82.12591045005776	399.71403954532144	373.64528024196625	25400.0	264.8374350517988	614.7600246191023	108.48816024012909	0.23460629854687198	71.15878576262769	794.346608204376	785.5668380409479	35703.0	687.3387279957533	928.943752782047	73.90595150584143	0.829970056635934	46.41899286307613	1003.0162359557908	1000.000006467104	252790.0	929.0383682996035	1086.44418387115	48.38672783970169	0.1725214570760727	0.46630266308784485	0.523923397064209	0.40234476395405633
sub-2_ses-31_T1w	0.4128311262182669	3.0310360068147797	0.6659858086139822	76.29960170871429	3.8965333333333336	3.68568	4.40765	3.59627	0.19989928065377707	0.433765527441391	0.36633519190483194	1.2523053884506226	0.33920884132385254	0.0	0.0008897968116686909	24.78468734533594	12.686617687620672	18.12528903744978	188	256	256	3.083103832313757	11.286663132487211	12.978900700949339	24.566935138047047	18.45195331298299	39.29632244013117	36.64948927259394	52.200192064667654	1.0	1.0	1.0	2.803553026758353	12.55045894976983	75.69628576338704	81.57332070171833	3348495.0	16.075245589017868	100.64129818230867	23.365999590780014	7.465594018165913	86.58548952214943	379.89040973534753	353.4843897074461	18817.0	243.522869348526	595.3997344970703	114.64907318096803	0.1269268624268589	64.40033481296034	758.1843335030915	752.8003306686878	38579.0	656.8533462248743	877.1269641071558	66.69735467084439	0.7981196943529842	37.65137684930949	1000.295129609378	999.9999849125743	250949.0	934.0743766725063	1067.4647124111652	40.70503654015851	0.17546649277210236	0.4706573784351349	0.5293692946434021	0.4096951277965717
sub-2_ses-32_T1w	0.38650074281766106	3.191343473635972	0.663314345474671	78.9109125242218	3.939393333333333	3.76678	4.43445	3.61695	0.205765366812594	0.4264091433430206	0.3678254898443854	1.250093698501587	0.3254084885120392	0.0	0.0008831123829726627	24.33373499735101	12.821447203066752	18.065846633298705	188	256	256	3.358824033984621	11.947973247734739	13.292857108746398	24.571774044519834	18.67135809701695	39.718741589115005	37.107286848484705	52.931760859322154	1.0	1.0	1.0	9.962458695492606	12.376999076341452	74.9856468599427	80.19706857204437	3485542.0	18.338578820228577	99.28835025429726	22.754730483943874	10.107558397291365	78.52292856629741	373.7982446316057	352.7439321577549	23877.0	245.58641561865807	566.237834841013	105.0178698921766	0.16412377462155003	60.05888076388639	754.7545451387099	750.376325905323	34487.0	657.3833086788654	865.4030087292194	62.80273910473717	1.149884274434691	36.42084154431624	999.1681901204032	999.9999659657478	252673.0	930.9565852582455	1062.8848687112331	40.697020301009346	0.17257320880889893	0.4630456268787384	0.5254186391830444	0.4261635366849411
sub-2_ses-33_T1w	0.41141068756065	3.0160564221481914	0.6575632056750574	78.42362480471967	3.94288	3.79711	4.38252	3.64901	0.20201730519519528	0.42819149558104924	0.3697911992237555	1.2370202541351318	0.3202613890171051	0.0	0.000984102033098016	24.57857530938726	12.819515950688942	18.20543898279633	188	256	256	3.38323560148506	11.560168556662168	13.075303844578789	24.282507375589137	17.776312642223548	37.993501546873624	35.34921892924489	50.277842598637484	1.0	1.0	1.0	2.665109630392706	13.031410956470555	74.60305294139036	81.11501879990101	3702235.0	13.477314785122871	100.36832563579082	24.367529551141963	2.9349858622706497	82.03583468787654	378.7643554089549	353.59116554260254	16024.0	249.7070186585188	580.6839196719228	104.50946190123362	0.28998446040036585	62.05433788795503	761.07233116431	755.7341483235359	33603.0	662.0626250654459	878.1182117760181	65.37300035858865	0.726693266577644	38.47368949053212	1000.5543688748972	1000.0837250798941	251691.0	933.9528016000986	1068.4748193621635	41.18527476919764	0.17675349116325378	0.46205934882164	0.5277825593948364	0.4269835596854896
sub-2_ses-34_T1w	0.5576007420775568	2.309932213370903	0.7007596383560463	87.91046439030951	4.008776666666666	3.82437	4.45015	3.75181	0.2150354187138792	0.4212478898155092	0.36371669147061153	1.302847981452942	0.4064660668373108	0.0	0.0013590360088400451	23.687212199354356	12.983662094733758	18.33631444877568	188	256	256	3.5632089053425036	10.588477173286023	11.253344440089114	19.60834724163881	22.13379472848247	45.089038199127714	41.529426983089024	57.365448021656896	1.0	1.0	1.0	161.9266458106989	11.420400442973863	76.85513916122633	80.09085649996996	2848604.0	30.91052784770727	98.65692434459925	21.72829798077206	1.280539153102736	88.58131112819471	410.12762053813617	385.83844185620546	27710.0	271.57812006771564	621.1732273548841	108.28202610727315	0.31996719610345803	69.98655656078854	795.1944574329773	785.9964573159814	31645.0	687.9518181875349	932.2338682964444	74.23013011099303	0.5424759032916517	49.34198652925887	1003.6633950074162	1000.0000159293413	250084.0	926.2295229509473	1092.7315994724631	50.998587707359874	0.170528382062912	0.4629453718662262	0.5241104364395142	0.40529561183642754
sub-2_ses-35_T1w	0.4366859982667362	2.8351233802219604	0.6625092513359115	71.56711566657418	3.9101966666666663	3.74012	4.36625	3.62422	0.20770672706816795	0.42343334112988806	0.368859931801944	1.258169174194336	0.3438037037849426	0.0	0.000912311996311219	24.373654792858552	12.966017457509805	18.342618835048025	188	256	256	3.1386882965843643	10.857076700952971	12.09513430226775	22.28963790926591	16.761514454578958	36.744912030578135	34.06501457405728	48.68861723701474	1.0	1.0	1.0	4.538102447484368	13.455636848956653	77.37594706092335	83.97215288877487	3395558.0	13.745703935623169	103.97391438484192	25.338723997997842	3.6928089256241847	88.83333065330605	367.90747095455754	344.25939279794693	17537.0	227.15656888484955	576.8966205596925	109.67944086776517	0.37330848726352484	65.57989998229358	760.4121508978416	754.6920141577721	30901.0	654.3307527303696	883.7782722711563	69.51040536934195	0.7750148094848073	41.542645805516656	1000.4756074105655	999.9999613165855	247639.0	927.9231291413307	1074.191517174244	44.863803814006445	0.17587898671627045	0.4626503884792328	0.5292309522628784	0.4057472240556239
sub-2_ses-36_T1w	0.39073959999506347	3.2928710390092784	0.5565258339560722	8375.9104	4.0144866666666665	3.7785	4.53767	3.72729	0.19761678331458704	0.433347259112399	0.36903595757301394	1.4045931100845337	0.33637176752090436	0.0	0.011615628893246065	25.104263299047464	12.794288087322952	18.342649202470714	188	256	256	1.3821751233468975	11.49690040098369	12.421949613855467	24.386773317235814	36.51130047855186	83.72205580122993	77.47874321872678	112.20287337639851	1.0	1.0	1.0	414.7269525441174	5.838855786724329	7.396838146504204	5.933627560734749	3406904.0	0.0	19.376182034611702	6.974237349446055	20.938897131716033	88.36135090576151	388.21514144409684	325.4043362289667	12537.0	226.93762470781803	613.2745398879051	235.41977620242486	0.3951264786228923	60.87980300291233	751.4100990627002	746.1667932569981	34829.0	652.6465217024088	867.4648433923721	64.9006301955575	0.4811500869949783	38.3028939609116	999.7658190656173	1000.0000289082527	247369.0	931.0544272512197	1066.404147610067	41.00575318537606	0.1779557764530182	0.45857560634613037	0.5280560851097107	0.47415596056169707
sub-2_ses-37_T1w	0.4110443587632837	3.0949525028868066	0.5781367870117393	7684.200995925758	4.16746	4.04386	4.62776	3.83076	0.20805913772302068	0.4249343124654041	0.36700654981157527	1.3820708990097046	0.37547643184661883	0.0	0.008834694146457265	24.148755102645964	12.889726996236481	18.173636862966315	188	256	256	1.8702403092509863	11.752839811026439	12.787960709000215	24.74080200672322	38.475364188335405	80.20172305378202	74.63400013104012	105.22491315100295	1.0	1.0	1.0	1300.4654243424238	6.226057740089567	7.626774905505776	6.3591097965836525	2851867.0	0.0	19.077329389750957	8.035672515160938	29.145624087299545	85.74170944923347	412.3090844558752	365.64881330356	22728.0	261.4434008821845	613.2731486985458	195.50469925708546	0.37011866846406827	61.726915308887996	767.341432436023	762.1933015622199	38034.0	669.6262599006295	883.6163037158549	64.85098868506822	0.9547310081011622	36.02219121051821	998.8610418452856	1000.0000113137066	251134.0	929.3898959308863	1062.1513108350337	40.4189815702414	0.16831550002098083	0.4576171636581421	0.5234074592590332	0.468222228679645
