scanName,exclude,excludeReason
Scan0000,include,
Scan0001,include,
Scan0002,include,
Scan0003,include,
Scan0004,include,
Scan0005,include,
Scan0006,include,
Scan0007,include,
Scan0008,include,
Scan0009,include,
Scan0010,include,
Scan0011,include,
Scan0012,include,
Scan0014,include,
Scan0015,include,
Scan0016,include,
Scan0017,include,
Scan0018,include,
Scan0020,exclude,
Scan0021,include,
Scan0022,include,
Scan0023,include,
Scan0024,include,
Scan0025,include,
Scan0029,include,
Scan0031,include,
Scan0033,exclude,differs by postprocessing only
Scan0034,include,
Scan0035,include,
Scan0036,include,
Scan0037,include,
Scan0038,include,
Scan0040,include,
Scan0041,include,
Scan0042,include,
Scan0043,include,
Scan0044,include,
Scan0045,exclude,differs by postprocessing only
Scan0048,include,
Scan0049,include,
Scan0050,include,
Scan0051,include,
Scan0053,include,
Scan0054,include,
Scan0055,include,
Scan0056,include,
Scan0057,exclude,differs by postprocessing only
Scan0058,include,
Scan0060,exclude,differs by postprocessing only
Scan0061,include,
Scan0062,include,
Scan0064,include,
Scan0065,include,
Scan0066,include,
Scan0067,include,
Scan0069,include,
Scan0070,include,
Scan0071,include,
Scan0073,include,
Scan0074,include,
Scan0075,include,
Scan0079,include,
Scan0080,include,
Scan0081,include,
Scan0082,include,
Scan0083,include,
Scan0084,exclude,differs by postprocessing only
Scan0085,include,
Scan0086,include,
Scan0087,include,
Scan0088,include,
Scan0089,include,
Scan0091,include,
Scan0092,include,
Scan0094,include,
Scan0096,include,
Scan0097,include,
Scan0098,include,
Scan0100,include,
Scan0101,include,
Scan0102,include,
Scan0103,include,
Scan0104,include,
Scan0105,include,
Scan0106,include,
Scan0108,include,
Scan0109,include,
Scan0110,include,
Scan0112,include,
Scan0113,include,
Scan0114,include,
Scan0115,include,
Scan0116,include,
Scan0117,include,
Scan0119,include,
Scan0120,include,
Scan0121,include,
Scan0123,exclude,differs by postprocessing only
Scan0124,include,
Scan0125,include,
Scan0126,include,
Scan0127,include,
Scan0128,include,
Scan0129,include,
Scan0130,include,
Scan0131,include,
Scan0133,include,
Scan0134,include,
Scan0135,include,
Scan0136,include,
Scan0137,include,
Scan0138,include,
Scan0139,include,
Scan0140,include,
Scan0141,include,
Scan0142,include,
Scan0143,include,
Scan0144,exclude,inconsistent sliceLocation in DICOM header
Scan0145,include,
Scan0146,include,
Scan0148,include,
Scan0149,include,
Scan0150,include,
Scan0151,include,
Scan0152,include,
Scan0153,include,
Scan0155,include,
Scan0158,include,
Scan0159,include,
Scan0160,include,
Scan0161,include,
Scan0162,include,
