bids_meta,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,provenance,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mad,summary_csf_mean,summary_csf_median,summary_csf_n,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mad,summary_gm_mean,summary_gm_median,summary_gm_n,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mad,summary_wm_mean,summary_wm_median,summary_wm_n,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
MPrageHiRes,0.42841136614300707,3.2555086849682846,0.6000609376002043,13004.445816186559,3.922318574712643,3.93242,4.007441655172413,3.827094068965517,0.22447294971360732,0.3812119071271565,0.39431514315923616,0.3273524045944214,0.05576866865158081,,0.0,0.004124243334758637,21.617771683063683,12.077924177970562,13.753861186610916,176,192,256,3.7346740533643774,14.173001021891446,12.900421334235103,20.793588927449484,26.781834394165713,66.9852383814538,60.49529016545006,87.71879772073068,1.0,1.1328125,1.1328125,7.604636181421853,0.0,4.711591143791514,0.0,1501779.0,0.0,19.66515165939927,7.469071862846239,2.353214371728509,64.0104312954569,313.9216611422804,305.3340429700911,48466.0,202.4017467238009,465.57802515104413,81.75570039289289,-0.043896410022921106,54.59020593924543,763.0551860589995,763.6845689248294,13694.0,673.4440789595246,849.9332554878666,53.88108582823741,0.30619353870305277,46.6772166400278,1002.8526424020826,1000.063504178077,159317.0,928.582742895931,1086.3169561251998,48.09464922414836,0.17847126728611412,0.44754139994305,0.5206230545835203,0.5384983834271345
MPrageHiRes,0.43699710740928877,3.245343618437369,0.6344097624986326,23466.990415518827,4.525108289855073,4.45764,4.631095652173913,4.4865892173913045,0.22358830333472848,0.36517628698069826,0.4112354096845732,0.2643048167228699,0.05008789896965027,,0.0,0.00228548739573843,16.830289240137333,9.603655942332274,10.325982866293513,160,256,256,3.8551280261875776,15.474518105896957,13.73591362500085,21.878094742918012,29.275741978262516,71.91898459398033,64.53519535773755,92.41085950096978,1.0,0.8984375,0.8984375,80.58427266022458,0.0,3.8278587802971398,0.0,1962666.0,0.0,15.203592039644718,7.090046214337645,1.9113070430126395,62.98591931177482,324.9934752707239,316.82923370599747,90167.0,210.5279476121068,480.1981779038906,82.18338655592314,-0.18525233736122093,52.15160666047828,778.468905409978,778.3248258829117,26802.0,695.7439301799983,859.7925461605191,50.296254818358115,0.3697359507179452,44.76040184328021,1003.7190823216973,1000.0929036587477,294391.0,935.4389318078756,1084.0997167006135,45.71198803322489,0.1851635437929154,0.4355185240046578,0.5139223634556387,0.5637129256059404
MPrageHiRes,0.42236588657777163,3.2445318210737066,0.6792387265311033,-1.0,5.578779229103211,3.561597687309631,6.90496,6.26978,0.24012687483822817,0.367365581907531,0.3925075432542408,0.34023451805114746,0.05921607166528703,,0.05583712243151228,0.003649781827500847,18.453222644905154,11.32783822473462,12.39272926405405,175,480,480,3.37366359550895,17.48633590064572,13.68696679881149,20.200900900279798,16.440935661239607,41.193740374002275,36.81400450487681,52.80733747938855,1.000003457069397,0.5,0.5,31.743663258370425,0.0,6.043876150372336,0.0,2953698.0,0.0,32.95153361186385,12.406692268242487,24.859117821684727,66.2158853355853,316.2896143664433,311.35139087215066,530335.0,177.66475385800004,468.9417798306788,92.28872070834186,0.04543189401411718,44.54523195303011,780.270289723439,780.1093943156302,187327.0,707.4536133296788,853.7054265849292,44.6123943021784,0.569796395329726,48.34710096751348,1004.406372718891,1000.0427172295749,1114307.0,931.4898509345949,1091.9309108294547,49.504835127777795,0.16133266184406414,0.42099024736907414,0.4991743600934675,0.41316170498287247
MPrageHiRes,0.31287635560508464,4.328806680397521,0.6895458827321338,11093.182013041904,4.914549617908867,4.574742187059934,5.401696,4.767210666666667,0.25023441391710693,0.40265852488535336,0.3471070611975397,0.5185199975967407,0.20541759133338927,,0.0,0.0036282442877097632,17.097680561182337,10.212060397094469,13.945195253775287,165,256,256,1.7465376246408766,10.732969180961074,13.52923842784737,28.108208477940163,19.057199458963897,76.8956391322696,69.51128678429556,112.58102176165322,1.000006079673767,0.9375,0.9375,3.4958247352159066,5.819382219242012,5.093148323826076,3.925113659352064,542741.0,0.0,17.460808642208576,6.813750163481005,0.4516926912964254,103.09123773845091,177.90844907443275,169.27944727241993,93738.0,49.31370070204139,356.6382059454918,96.92235766493943,-0.06263045646238963,64.75385305774748,683.1636238430683,683.0411424301565,48161.0,579.0613133087754,787.3540114983916,63.638871932868106,0.28861249237007813,34.42252755139517,998.5388020074965,1000.0238061323762,242112.0,937.7108426475897,1054.428260307759,35.57756950984584,0.1666054229284232,0.46069496491504053,0.5103159317018051,0.7953156630153054
MPrageHiRes,0.40551174192639705,3.30744220742915,0.5691921191274354,13793.927575920583,3.8166333333333333,3.76112,4.05572,3.63306,0.22759254132611165,0.39330103242973263,0.3791064262441557,0.4654846489429474,0.17143885791301722,,0.0,0.007955037581048763,20.436556371442812,11.547503649569764,13.826393745595723,160,256,256,3.6591864174889364,13.244583175251133,13.98575845350639,25.0535057677791,38.325887169595504,99.47865124668704,89.17790235156951,129.72916863842602,1.0,1.0,1.0,6.018993134789207,0.0,3.360331430582432,0.0,2040034.0,0.0,13.217604875564575,5.050395581888909,6.691737867742452,63.888699722396595,306.8239399958952,295.4512850046158,64868.0,202.08169198036194,454.2480221629141,80.74172068873955,0.029684018935089984,57.98840609989361,766.4938348330317,766.8731896877289,25161.0,671.6488101482391,861.8814775943756,57.8997421109261,0.8767532372943632,36.57648082728096,1001.8439515987733,1000.0720767974854,219135.0,939.6024348735809,1070.157796382904,39.91735943869785,0.17999104624462622,0.4489880206995801,0.5162434168638228,0.5948586118251928
MPrageHiRes,0.4317236573773415,3.1592093404123953,0.5097826712604293,16009.605496214168,4.444768411155971,4.251093333333333,4.594112,4.4890999001345815,0.22664576433490347,0.37992214812379393,0.3934320875413026,0.4868959039449692,0.2138190999627113,,0.0,0.00022431746008274108,20.008267639196127,11.409221318325635,12.959907465116434,256,256,180,3.8908884676003126,15.565436428007292,13.25857589520723,20.319402790014085,27.18862024209223,62.46797176729841,56.72919725253153,80.53099974820397,0.9375,0.9375,0.9999977946281433,5.273980509510716,8.13520775569901,9.525993138929017,5.487114246934652,3518195.0,0.0,32.63947958499193,11.634935738104982,1.986134701424688,71.48485782749711,339.264812826299,337.6168295033276,84680.0,205.182672098279,482.15803898870945,86.77062805129061,0.21531906661402767,48.758761322866974,775.1985677967318,775.7009508311749,22293.0,692.2684936881066,855.6358151510358,49.833716925607455,0.34270257362200995,48.0764535756148,1002.4456720749818,1000.0000209510326,274650.0,926.2956863567233,1087.1920363716781,49.213956275425915,0.17512014739674522,0.43605508818164723,0.5165953882751505,0.4977708858305873
MPrageHiRes,0.3698914822943141,3.4481259344561863,0.638541783989602,282.69321550309303,4.207461280088553,3.8692043358757995,4.541934106630466,4.211245397759392,0.26767804767232084,0.3865463474133165,0.3457756049143627,0.6611288189888,0.288083553314209,,0.0,0.0004981638239505539,22.52280211369155,14.830752101042043,19.445034713325033,148,256,256,2.5274000999888924,11.303398120249408,11.043631548963006,19.30009642665072,5.868167555884419,17.321267453408645,15.983668240145851,24.76156971114449,1.2000012397766113,1.0938005447387695,1.0937999486923218,3.2468897480688037,26.457789969148056,28.37847247539206,17.84550814703107,2203741.0,0.0,97.84261363372207,32.85523483860219,7.749967433088509,78.46103232230114,251.95884851441264,236.98690028116107,69331.0,128.7193244844675,437.52263077721,93.7663930528355,0.10902581031596448,61.77062120586088,699.5578840193749,699.522200692445,26315.0,597.324993488565,799.4136089734733,61.88483337523848,0.4399188738342157,49.373563431270206,1001.0657612227377,1000.0000163689256,148788.0,917.7948459796607,1088.1778213307261,51.813039363695026,0.16533230879889954,0.45689050434035905,0.5203310539773961,0.512465682273503
MPrageHiRes,0.3980228390219267,3.428709200622924,0.5558374081342975,38151.77215282343,3.89060956284153,3.90439,4.116028852459016,3.651409836065574,0.2367720838000365,0.37257301012318966,0.39065490607677383,0.3011016845703125,0.05409007966518403,,0.0,0.00800636982438424,19.759097902049657,11.82797292217468,13.264027535930932,176,256,256,3.3636712887994307,14.896279000876618,14.269610744356848,24.548881943394495,33.504390150387884,95.35028020638757,84.06508647110253,123.34058905653215,1.0,0.953125,0.953125,8.384993961681438,0.0,3.3877828554473544,0.0,3224380.0,0.0,13.556593805551529,5.311932944159261,3.1606046998873794,57.26848628369753,285.71722199161013,271.6580452769995,90178.0,183.5092344135046,448.048520386219,80.76191628624159,0.09694684596793168,51.830733379356055,773.7349293393676,773.1127360090613,23642.0,689.6839720755816,858.5208245404065,51.89862417196491,0.6734829727986691,38.500208326940886,1001.5772284995019,1000.0618777424097,258665.0,938.2215251773596,1070.909008383751,40.73749455982363,0.16186325439286509,0.4381997700191657,0.5186587539510907,0.5297507703056625
MPrageHiRes,0.3740560576475677,3.676263059588627,0.5538558740904699,14655.013878116344,4.608250000000001,4.16537,5.07447,4.58491,0.23424618986630819,0.39435194025508985,0.37140186987860196,0.5958104133605957,0.2084750235080719,,0.0,0.0027910784017788235,15.284420862497178,8.689354135946559,10.86157736977527,192,256,160,1.6421227220166013,9.117626095778965,9.396190769783749,17.428823491555676,17.512932856795118,69.03753057318458,63.83786565243577,104.9631335273276,1.0,1.0,1.0,6.843245901816045,6.241902250800395,8.79251352537896,4.2100990898907185,2230141.0,0.0,35.88729043491185,13.125757660907352,0.47867348635431295,92.19966457206367,183.1267374189619,166.85687899030745,62331.0,41.47962085250765,381.47048440389335,101.6096655101188,0.02963122693573439,71.85707952578045,658.0440176905503,657.7645776886493,27827.0,539.3492002747953,777.0777714144438,72.14079101878554,0.20012414148969615,56.177120257203555,1000.8696874264696,1000.0507061053067,222173.0,907.6567845121026,1096.1221238914877,57.378999562116256,0.16730164813389972,0.45302428981376724,0.5184165643042254,0.6840790409604275
MPrageHiRes,0.47869466520104675,2.8932460210041766,0.5375074164502608,20981.522500000003,3.5660373599999997,3.41525,3.65089792,3.63196416,0.21213121844245014,0.3832766810937103,0.4045921004638395,0.36159515380859375,0.053512103855609894,,0.0,0.008064163966266812,22.7319024003174,11.978911474192193,13.252674165852799,176,256,256,3.6637393015033135,12.951739598063572,11.54993944767738,18.034339443465253,26.77566810520225,65.00611951705217,58.93338005064616,85.01835252968405,1.0,0.9765625,0.9765625,15.402823956539589,0.0,4.119704170495519,0.0,3437736.0,0.0,20.29403580352664,7.706365677875377,2.2865801777662496,70.29220176150864,321.2172256944788,314.9620288051665,64532.0,199.98594034463167,478.33429276943207,85.96670301052305,-0.00977781176940029,58.92447180304507,765.0565826016187,764.6666072867811,17738.0,668.7834431519732,863.6448756689205,59.03801931138538,0.41346491253892914,53.762062326495105,1003.5115575043674,1000.0703882798553,219497.0,918.4370137564838,1099.570955503732,55.453548122264834,0.1744171373582759,0.4326037704308293,0.5040904679321674,0.49097926612377846
